,main_dest,sub_dest
0,india,"[88757.0, ['gulmarg']]"
3,india,"[88761.0, ['nainital']]"
6,india,"[88765.0, ['dhanaulti', 'attracts', 'many']]"
11,india,"[88770.0, ['katao', 'place', 'see', 'sikkim']]"
16,india,"[95279.0, ['sonamarg']]"
27,india,"[95291.0, ['tawang']]"
31,india,"[88803.0, ['srinagar']]"
34,india,"[88807.0, ['udaipur']]"
38,india,"[88811.0, ['pushkar']]"
42,india,"[88815.0, ['darjeeling', 'toy']]"
43,india,"[88816.0, ['blue', 'jodhpur']]"
44,india,"[88817.0, ['jaipur']]"
46,india,"[88819.0, ['dalhousie']]"
47,india,"[88820.0, ['root', 'shillong']]"
57,india,"[88830.0, ['puri']]"
62,india,"[88835.0, ['auli']]"
63,india,"[88836.0, ['khajjiar']]"
65,india,"[88838.0, ['hampi']]"
70,india,"[88843.0, ['mount', 'abu', 'rajasthan']]"
71,india,"[88844.0, ['mcleod', 'ganj']]"
78,india,"[89685.0, ['goa']]"
79,india,"[89686.0, ['srinagar']]"
80,india,"[89687.0, ['agra']]"
81,india,"[89688.0, ['thar', 'jaisalmer']]"
86,india,"[89694.0, ['pushkar']]"
92,india,"[89700.0, ['jaipur']]"
98,india,"[89706.0, ['pahalgam']]"
102,india,"[89710.0, ['nainital']]"
104,india,"[89712.0, ['ranikhet']]"
106,india,"[89714.0, ['lakshadweep']]"
114,india,"[89722.0, ['khajuraho']]"
121,india,"[89730.0, ['matheran']]"
124,india,"[89733.0, ['rishikesh']]"
127,india,"[89136.0, ['across', 'thar', 'dessert', 'rajasthan']]"
136,india,"[89146.0, ['yumthang', 'sikkim']]"
152,india,"[89265.0, ['leh', 'ladakh']]"
155,india,"[89269.0, ['lakshadweep']]"
156,india,"[89270.0, ['ooty']]"
183,india,"[89357.0, ['nagarjuna', 'sagar', 'dam']]"
184,india,"[89358.0, ['henry', 'west', 'bengal']]"
191,india,"[89844.0, ['goa']]"
197,india,"[89852.0, ['jaisalmer']]"
202,india,"[89859.0, ['white', 'rishikesh']]"
207,india,"[89864.0, ['andaman']]"
217,india,"[89877.0, ['hemis', 'jammu', 'kashmir']]"
230,india,"[89995.0, ['glass', 'bottom', 'andaman']]"
233,india,"[89999.0, ['dibru', 'saikhowa']]"
236,india,"[90002.0, ['kerala']]"
244,india,"[90058.0, ['people']]"
245,india,"[90103.0, ['shimla']]"
250,india,"[90109.0, ['darjeeling']]"
251,india,"[90110.0, ['take', 'detour', 'gangtok']]"
255,india,"[90115.0, ['pondicherry']]"
269,india,"[90225.0, ['varanasi', 'ghats']]"
272,india,"[90229.0, ['pipli']]"
276,india,"[90233.0, ['mustard', 'fields', 'punjab']]"
278,india,"[90235.0, ['khari', 'baoli', 'old', 'delhi']]"
288,india,"[90245.0, ['pushkar', 'mela']]"
295,india,"[90252.0, ['dal', 'srinagar']]"
304,india,"[90335.0, ['malana', 'himachal', 'pradesh']]"
308,india,"[90675.0, ['mcleodganj']]"
318,india,"[90685.0, ['volunteer', 'monks', 'sikkim']]"
325,india,"[90693.0, ['drive', 'bandipur']]"
329,india,"[90698.0, ['beat', 'fear', 'heights', 'solang']]"
334,india,"[90704.0, []]"
349,india,"[90760.0, ['gangtok']]"
355,india,"[90767.0, ['shillong']]"
360,india,"[90774.0, ['ghat']]"
367,india,"[90874.0, ['spiti']]"
369,india,"[90876.0, ['barapole']]"
372,india,"[90879.0, []]"
374,india,"[90908.0, ['rainforest', 'resort']]"
376,india,"[90910.0, ['house', 'jaipur']]"
379,india,"[90914.0, ['manali']]"
386,india,"[91018.0, ['khajjiar', 'himachal', 'pradesh']]"
393,india,"[91026.0, ['auli', 'uttarakhand']]"
398,india,"[91031.0, ['mirik', 'west', 'bengal']]"
401,india,"[91034.0, ['champhai', 'mizoram']]"
409,india,"[91044.0, ['amarkantak']]"
426,india,"[91064.0, ['meghamalai']]"
429,india,"[91199.0, ['dhikala', 'lodge', 'corbett']]"
463,india,"[91643.0, ['andaman']]"
465,india,"[91646.0, ['ladakh']]"
466,india,"[91647.0, ['udaipur']]"
473,india,"[91654.0, ['wayanad']]"
