,id,blog_post_id,snippet_id,blog_post_name,blog_post_title,h1_tag,h2_tag,h3_tag,snippet_heading,snippet_image,snippet_image_source,snippet_inner_link,snippet_text,snippet_content,package_id,snippet_modified,short_code,is_active,blog_url,location,lat_log_value,snippet_type
0,1,973,101978,20-things-to-do-on-kerala-trip,20 Amazing Things To Do In Kerala For An Incredible Holiday-0,20 Amazing Things To Do In Kerala For An Incredible Holiday,<h2>1. Elephant bathing in Kodanad</h2>,, Elephant Bathing In Kodanad,"<img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Elephant-bathing.jpg"" alt=""Elephant bathing at Kodanad Elephant Sanctuary in kerala"">",http://welcomenri.com/Top-News/20-things-to-do-on-kerala-trip.aspx,,"<div> </div> <p><a class=""imagesource-link"" href=""http://welcomenri.com/Top-News/20-things-to-do-on-kerala-trip.aspx"" target=""_blank"" rel=""nofollow""> </a></p> <p>Can you imagine giving a bath to an elephant- <em>Kodanad Elephant Sanctuary</em> is a major attraction in Kerala. 42 kms from Kochi, visit there for some exciting activities like elephant bath, elephant safari and elephant feeding and watching baby elephants too. The rates vary from <strong>Rs 350-1500/person</strong> depending on the time and activities involved.</p>  <p></p>","<h3> Elephant Bathing In Kodanad</h3><br/><img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Elephant-bathing.jpg"" alt=""Elephant bathing at Kodanad Elephant Sanctuary in kerala""><br/><p><a class='imagesource-link' href='http://welcomenri.com/Top-News/20-things-to-do-on-kerala-trip.aspx' target='_blank' rel='nofollow'>Image Source</a></p><div> </div> <p><a class=""imagesource-link"" href=""http://welcomenri.com/Top-News/20-things-to-do-on-kerala-trip.aspx"" target=""_blank"" rel=""nofollow""> </a></p> <p>Can you imagine giving a bath to an elephant- <em>Kodanad Elephant Sanctuary</em> is a major attraction in Kerala. 42 kms from Kochi, visit there for some exciting activities like elephant bath, elephant safari and elephant feeding and watching baby elephants too. The rates vary from <strong>Rs 350-1500/person</strong> depending on the time and activities involved.</p>  <p></p>",0,2018-10-29 10:02:04,[ls_content_block id=101978],1,https://traveltriangle.com/blog/20-things-to-do-on-kerala-trip/,,,
1,2,973,101979,20-things-to-do-on-kerala-trip,20 Amazing Things To Do In Kerala For An Incredible Holiday-1,20 Amazing Things To Do In Kerala For An Incredible Holiday,<h2>2. Houseboat in Alleppey</h2>,, Houseboat In Alleppey,"<img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Houseboat-in-Alleppey.jpg"" alt=""The lush green landscape and being served a freshly prepared meal at Houseboat in Alleppey, Kerala"">",http://www.goseekandhide.com/backwaters/houseboat-experiences-alleppey-houseboats/,"<strong>Must Read:</strong> <a href=""https://traveltriangle.com/blog/16-hotels-resorts-in-kerala-to-stay-with-sweetheart/"" target=""_blank"">16 resorts in Kerala you will yearn to be with your sweetheart</a>","<div> </div> <p><a class=""imagesource-link"" href=""http://www.goseekandhide.com/backwaters/houseboat-experiences-alleppey-houseboats/"" target=""_blank"" rel=""nofollow""> </a></p> <p>Alleppey tops in the list of <a href=""https://traveltriangle.com/kerala-tourism/places-to-visit-utm_source=blog_bs"" target=""_blank"">places to visit in Kerala</a>. Looking at the lush green landscape and being served a freshly prepared meal as you travel through the <em>tranquil backwaters</em> is just as amazing as it is made out to be. The boat accommodates the whole family and includes breakfast, lunch, dinner and snacks. Prices vary from <strong>Rs 6500-11500</strong> and its better to call in advance and reserve.</p> <p></p>","<h3> Houseboat In Alleppey</h3><br/><img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Houseboat-in-Alleppey.jpg"" alt=""The lush green landscape and being served a freshly prepared meal at Houseboat in Alleppey, Kerala""><br/><p><a class='imagesource-link' href='http://www.goseekandhide.com/backwaters/houseboat-experiences-alleppey-houseboats/' target='_blank' rel='nofollow'>Image Source</a></p><div> </div> <p><a class=""imagesource-link"" href=""http://www.goseekandhide.com/backwaters/houseboat-experiences-alleppey-houseboats/"" target=""_blank"" rel=""nofollow""> </a></p> <p>Alleppey tops in the list of <a href=""https://traveltriangle.com/kerala-tourism/places-to-visit-utm_source=blog_bs"" target=""_blank"">places to visit in Kerala</a>. Looking at the lush green landscape and being served a freshly prepared meal as you travel through the <em>tranquil backwaters</em> is just as amazing as it is made out to be. The boat accommodates the whole family and includes breakfast, lunch, dinner and snacks. Prices vary from <strong>Rs 6500-11500</strong> and its better to call in advance and reserve.</p> <p></p>",0,2018-10-29 10:02:04,[ls_content_block id=101979],1,https://traveltriangle.com/blog/20-things-to-do-on-kerala-trip/,,,
2,3,973,101980,20-things-to-do-on-kerala-trip,20 Amazing Things To Do In Kerala For An Incredible Holiday-2,20 Amazing Things To Do In Kerala For An Incredible Holiday,<h2>3. Watch the Neelakurinji Bloom in Munnar</h2>,, Watch The Neelakurinji Bloom In Munnar,"<img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Watch-the-Neelakurinji-Bloom-in-Munnar.jpg"" alt=""Eravikulam national Park, watch the Neelakurinji Bloom in Munnar, Kerala"">",http://www.keralatourismpackages.co.in/blog/neelakurinji-bloom-in-munnar/,,"<div> </div> <p><a class=""imagesource-link"" href=""http://www.keralatourismpackages.co.in/blog/neelakurinji-bloom-in-munnar/"" target=""_blank"" rel=""nofollow""> </a></p> <p><em><a class=""intext-link"" href=""https://traveltriangle.com/kerala-tourism/munnar/places-to-visit/eravikulam-national-park"" target=""_blank"">Eravikulam National Park </a></em> is one the most frequented tourist attractions in Kerala because of <em>Neelakurinji</em>, which bloom once in 12 years and this rare view is a fascinating experience. Also see the Nigiri Thar, an endangered mountain goat while going on a trek to the peak of the hill. Tickets are for Rs 55 per adult and the park is closed in Feburary and March.</p>","<h3> Watch The Neelakurinji Bloom In Munnar</h3><br/><img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Watch-the-Neelakurinji-Bloom-in-Munnar.jpg"" alt=""Eravikulam national Park, watch the Neelakurinji Bloom in Munnar, Kerala""><br/><p><a class='imagesource-link' href='http://www.keralatourismpackages.co.in/blog/neelakurinji-bloom-in-munnar/' target='_blank' rel='nofollow'>Image Source</a></p><div> </div> <p><a class=""imagesource-link"" href=""http://www.keralatourismpackages.co.in/blog/neelakurinji-bloom-in-munnar/"" target=""_blank"" rel=""nofollow""> </a></p> <p><em><a class=""intext-link"" href=""https://traveltriangle.com/kerala-tourism/munnar/places-to-visit/eravikulam-national-park"" target=""_blank"">Eravikulam National Park </a></em> is one the most frequented tourist attractions in Kerala because of <em>Neelakurinji</em>, which bloom once in 12 years and this rare view is a fascinating experience. Also see the Nigiri Thar, an endangered mountain goat while going on a trek to the peak of the hill. Tickets are for Rs 55 per adult and the park is closed in Feburary and March.</p>",0,2018-10-29 10:02:04,[ls_content_block id=101980],1,https://traveltriangle.com/blog/20-things-to-do-on-kerala-trip/,,,
3,4,973,101981,20-things-to-do-on-kerala-trip,20 Amazing Things To Do In Kerala For An Incredible Holiday-3,20 Amazing Things To Do In Kerala For An Incredible Holiday,<h2>4. Enjoy Village life for a day</h2>,, Enjoy Village Life For A Day,"<img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Enjoy-Village-life-for-a-day.jpg"" alt=""Paddy cultivation at Kumbalangi Integrated Tourism Village, Kerala"">",http://www.farawayvacationrentals.com/mobile/blog_detail.php-blog_id=114,"<strong>Must Read:</strong> <a href=""https://traveltriangle.com/blog/tour-packages-in-india-under-20k/"" target=""_blank"">Myth Busted: Travel Packages not a luxury anymore!</a>","<div> </div> <p><a class=""imagesource-link"" href=""http://www.farawayvacationrentals.com/mobile/blog_detail.php-blog_id=114"" target=""_blank"" rel=""nofollow""> </a></p> <p>Have an authentic rural experience at <em>Kumbalangi Integrated Tourism Village</em>. Exploring the local paddy cultivation, canoeing in mangrove forests, fishing, crab farming are amongst the many things to do in the village. Many homestays are available in the village which can be booked by the visitors. The village is 14 kms from Ernakulam railway station.</p> <p></p>","<h3> Enjoy Village Life For A Day</h3><br/><img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Enjoy-Village-life-for-a-day.jpg"" alt=""Paddy cultivation at Kumbalangi Integrated Tourism Village, Kerala""><br/><p><a class='imagesource-link' href='http://www.farawayvacationrentals.com/mobile/blog_detail.php-blog_id=114' target='_blank' rel='nofollow'>Image Source</a></p><div> </div> <p><a class=""imagesource-link"" href=""http://www.farawayvacationrentals.com/mobile/blog_detail.php-blog_id=114"" target=""_blank"" rel=""nofollow""> </a></p> <p>Have an authentic rural experience at <em>Kumbalangi Integrated Tourism Village</em>. Exploring the local paddy cultivation, canoeing in mangrove forests, fishing, crab farming are amongst the many things to do in the village. Many homestays are available in the village which can be booked by the visitors. The village is 14 kms from Ernakulam railway station.</p> <p></p>",0,2018-10-29 10:02:05,[ls_content_block id=101981],1,https://traveltriangle.com/blog/20-things-to-do-on-kerala-trip/,,,
4,5,973,101982,20-things-to-do-on-kerala-trip,20 Amazing Things To Do In Kerala For An Incredible Holiday-4,20 Amazing Things To Do In Kerala For An Incredible Holiday,<h2>5. Meal at the Veli Tourist Village</h2>,, Meal At The Veli Tourist Village,"<img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Meal-at-the-Veli-Tourist-Village.jpg"" alt=""Floating restaurant in the Veli Lake, Kerala"">",http://allkeralatour.blogspot.com/2014/04/veli-tourist-village-photos.html,,"<div> </div> <p><a class=""imagesource-link"" href=""http://allkeralatour.blogspot.com/2014/04/veli-tourist-village-photos.html"" target=""_blank"" rel=""nofollow""> </a></p> <p>From all the places to visit on your trip to Kerala, exploring the <em>Veli Lake</em> and dining in the floating restaurant at the laske is an incredible experience. Paddle boat in the lake and check out the floating bridge that links the tourist village with the beach. Veli Tourist Village is located at a distance of 8 Km from <strong>Thiruvananthapuram</strong>.</p>","<h3> Meal At The Veli Tourist Village</h3><br/><img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Meal-at-the-Veli-Tourist-Village.jpg"" alt=""Floating restaurant in the Veli Lake, Kerala""><br/><p><a class='imagesource-link' href='http://allkeralatour.blogspot.com/2014/04/veli-tourist-village-photos.html' target='_blank' rel='nofollow'>Image Source</a></p><div> </div> <p><a class=""imagesource-link"" href=""http://allkeralatour.blogspot.com/2014/04/veli-tourist-village-photos.html"" target=""_blank"" rel=""nofollow""> </a></p> <p>From all the places to visit on your trip to Kerala, exploring the <em>Veli Lake</em> and dining in the floating restaurant at the laske is an incredible experience. Paddle boat in the lake and check out the floating bridge that links the tourist village with the beach. Veli Tourist Village is located at a distance of 8 Km from <strong>Thiruvananthapuram</strong>.</p>",0,2018-10-29 10:02:05,[ls_content_block id=101982],1,https://traveltriangle.com/blog/20-things-to-do-on-kerala-trip/,,,
5,6,973,101983,20-things-to-do-on-kerala-trip,20 Amazing Things To Do In Kerala For An Incredible Holiday-5,20 Amazing Things To Do In Kerala For An Incredible Holiday,<h2>6.Go on Shikara rides in Alappuzha</h2>,,go On Shikara Rides In Alappuzha,"<img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Go-on-Shikara-rides-in-Alappuzha.jpg"" alt=""Stunning views of the backwaters on Shikara rides in Alappuzha, Kerala"">",http://icearth.blogspot.com/2012/08/kerala-boat-house-in-alappuzha-tour-of.html,"<strong>Must Read:</strong> <a href=""https://traveltriangle.com/blog/offbeat-kerala-backwaters/"" target=""_blank"">10 Most Offbeat Kerala Backwaters You Should Explore</a>","<div> </div> <p><a class=""imagesource-link"" href=""http://icearth.blogspot.com/2012/08/kerala-boat-house-in-alappuzha-tour-of.html"" target=""_blank"" rel=""nofollow""> </a></p> <p>About 4 hours from <strong>Thiruvananthapuram, Alappuzha</strong> offers some stunning views of the backwaters. Other than looking at the village life, the coconut tress, you will also see an array of birds. The double deck boats give a 3-4 hour ride without the expense of a houseboat and costs Rs 600 per hour.</p> <p></p>","<h3>go On Shikara Rides In Alappuzha</h3><br/><img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Go-on-Shikara-rides-in-Alappuzha.jpg"" alt=""Stunning views of the backwaters on Shikara rides in Alappuzha, Kerala""><br/><p><a class='imagesource-link' href='http://icearth.blogspot.com/2012/08/kerala-boat-house-in-alappuzha-tour-of.html' target='_blank' rel='nofollow'>Image Source</a></p><div> </div> <p><a class=""imagesource-link"" href=""http://icearth.blogspot.com/2012/08/kerala-boat-house-in-alappuzha-tour-of.html"" target=""_blank"" rel=""nofollow""> </a></p> <p>About 4 hours from <strong>Thiruvananthapuram, Alappuzha</strong> offers some stunning views of the backwaters. Other than looking at the village life, the coconut tress, you will also see an array of birds. The double deck boats give a 3-4 hour ride without the expense of a houseboat and costs Rs 600 per hour.</p> <p></p>",0,2018-10-29 10:02:05,[ls_content_block id=101983],1,https://traveltriangle.com/blog/20-things-to-do-on-kerala-trip/,,,
6,7,973,101984,20-things-to-do-on-kerala-trip,20 Amazing Things To Do In Kerala For An Incredible Holiday-6,20 Amazing Things To Do In Kerala For An Incredible Holiday,<h2>7. Watch the Snake Boat Races</h2>,, Watch The Snake Boat Races,"<img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Watch-the-Snake-Boat-Races.jpg"" alt=""Colourful Snake Boat races during Onam festival in Alappuzha, Kerala"">",http://www.blog.luxeindia.in/-p=259,,"<div> </div> <p><a class=""imagesource-link"" href=""http://www.blog.luxeindia.in/-p=259"" target=""_blank"" rel=""nofollow""> </a></p> <p>Watching the colourful Snake Boat races in <strong>Alappuzha</strong> is one of the amazing <a href=""https://traveltriangle.com/kerala-tourism/things-to-do-utm_source=blog_bs"" target=""_blank"">things to do in Kerala</a>. Snake boat races are mostly held from July to September particularly during Onam festival. You can even rent a boat to look at the race from close-by. The closest station is Alleppey which is accessible from Ernakulam.</p>","<h3> Watch The Snake Boat Races</h3><br/><img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Watch-the-Snake-Boat-Races.jpg"" alt=""Colourful Snake Boat races during Onam festival in Alappuzha, Kerala""><br/><p><a class='imagesource-link' href='http://www.blog.luxeindia.in/-p=259' target='_blank' rel='nofollow'>Image Source</a></p><div> </div> <p><a class=""imagesource-link"" href=""http://www.blog.luxeindia.in/-p=259"" target=""_blank"" rel=""nofollow""> </a></p> <p>Watching the colourful Snake Boat races in <strong>Alappuzha</strong> is one of the amazing <a href=""https://traveltriangle.com/kerala-tourism/things-to-do-utm_source=blog_bs"" target=""_blank"">things to do in Kerala</a>. Snake boat races are mostly held from July to September particularly during Onam festival. You can even rent a boat to look at the race from close-by. The closest station is Alleppey which is accessible from Ernakulam.</p>",0,2018-10-29 10:02:05,[ls_content_block id=101984],1,https://traveltriangle.com/blog/20-things-to-do-on-kerala-trip/,,,
7,8,973,101985,20-things-to-do-on-kerala-trip,20 Amazing Things To Do In Kerala For An Incredible Holiday-7,20 Amazing Things To Do In Kerala For An Incredible Holiday,<h2>8. Stay in a Tree house</h2>,, Stay In A Tree House,"<img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Stay-in-a-Tree-house.jpg"" alt=""Get closer to nature while staying in a tree houses in Wayanad, Munnar, Kerala"">",http://www.wayanad.org/content/tranquil-resort-plantation-hideaway,,"<div> </div> <p><a class=""imagesource-link"" href=""http://www.wayanad.org/content/tranquil-resort-plantation-hideaway"" target=""_blank"" rel=""nofollow""> </a></p> <p>Number 8 on our list of things to do in Kerala is staying in a Tree House. Get closer to nature and experience the fun of staying in a <em>Tree House</em> at <strong>Wayanad, Munnar, Athirapally or Thekkady</strong>. You can indulge in activities like rappling, rock climbing, nature walks and mountain biking. The tarrifs for tree houses start from Rs 10000.</p>","<h3> Stay In A Tree House</h3><br/><img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Stay-in-a-Tree-house.jpg"" alt=""Get closer to nature while staying in a tree houses in Wayanad, Munnar, Kerala""><br/><p><a class='imagesource-link' href='http://www.wayanad.org/content/tranquil-resort-plantation-hideaway' target='_blank' rel='nofollow'>Image Source</a></p><div> </div> <p><a class=""imagesource-link"" href=""http://www.wayanad.org/content/tranquil-resort-plantation-hideaway"" target=""_blank"" rel=""nofollow""> </a></p> <p>Number 8 on our list of things to do in Kerala is staying in a Tree House. Get closer to nature and experience the fun of staying in a <em>Tree House</em> at <strong>Wayanad, Munnar, Athirapally or Thekkady</strong>. You can indulge in activities like rappling, rock climbing, nature walks and mountain biking. The tarrifs for tree houses start from Rs 10000.</p>",0,2018-10-29 10:02:05,[ls_content_block id=101985],1,https://traveltriangle.com/blog/20-things-to-do-on-kerala-trip/,,,
8,9,973,101986,20-things-to-do-on-kerala-trip,20 Amazing Things To Do In Kerala For An Incredible Holiday-8,20 Amazing Things To Do In Kerala For An Incredible Holiday,<h2>9. Take a spice tour</h2>,, Take A Spice Tour,"<img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Take-a-spice-tour.jpg"" alt=""Take a tour of the spice plantations or gardens in Munnar, Thekkady, Kerala"">",http://www.onthegotours.com/India/Tours/Captivating-Kerala,"<strong>Must Read:</strong> <a href=""https://traveltriangle.com/blog/kerala-food-paradises/"" target=""_blank"">Food Paradises of Kerala : Go on a gastronomic joy ride</a>","<div> </div> <p><a class=""imagesource-link"" href=""http://www.onthegotours.com/India/Tours/Captivating-Kerala"" target=""_blank"" rel=""nofollow""> </a><br>\nTake a tour of <em>the spice plantations</em> or gardens in <strong>Munnar, Thekkady or Wayanad</strong>. Taste some authentic black pepper, cardamom, cinnamon and the exotic vanilla and explore the farms on a nature walk. Most hotels include these tours in their packages but you can visit on your own too, like the Abraham-s Spice garden in Thekkady which costs only Rs 200 to enter.</p> <p></p>","<h3> Take A Spice Tour</h3><br/><img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Take-a-spice-tour.jpg"" alt=""Take a tour of the spice plantations or gardens in Munnar, Thekkady, Kerala""><br/><p><a class='imagesource-link' href='http://www.onthegotours.com/India/Tours/Captivating-Kerala' target='_blank' rel='nofollow'>Image Source</a></p><div> </div> <p><a class=""imagesource-link"" href=""http://www.onthegotours.com/India/Tours/Captivating-Kerala"" target=""_blank"" rel=""nofollow""> </a><br>\nTake a tour of <em>the spice plantations</em> or gardens in <strong>Munnar, Thekkady or Wayanad</strong>. Taste some authentic black pepper, cardamom, cinnamon and the exotic vanilla and explore the farms on a nature walk. Most hotels include these tours in their packages but you can visit on your own too, like the Abraham-s Spice garden in Thekkady which costs only Rs 200 to enter.</p> <p></p>",0,2018-10-29 10:02:05,[ls_content_block id=101986],1,https://traveltriangle.com/blog/20-things-to-do-on-kerala-trip/,,,
9,10,973,101987,20-things-to-do-on-kerala-trip,20 Amazing Things To Do In Kerala For An Incredible Holiday-9,20 Amazing Things To Do In Kerala For An Incredible Holiday,<h2>10. Coffee plantation visit in Wayanad</h2>,, Coffee Plantation Visit In Wayanad,"<img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Coffee-plantation-visit-in-Wayanard.jpg"" alt=""Stay at a coffee plantation resort in Wayanad, Kerala"">",,,"<div>&gt; \n</div> <p>Drink your cuppa joe where it gets made. Stay at a <em>coffee plantation resort</em> or homestay and it would include all the activities like trekking, night safaris, camp fire and plantation walks with rates starting from <strong>Rs 5000/night</strong>.</p>","<h3> Coffee Plantation Visit In Wayanad</h3><br/><img src=""https://traveltriangle.com/blog/wp-content/uploads/2014/12/Coffee-plantation-visit-in-Wayanard.jpg"" alt=""Stay at a coffee plantation resort in Wayanad, Kerala""><br/><div>&gt; \n</div> <p>Drink your cuppa joe where it gets made. Stay at a <em>coffee plantation resort</em> or homestay and it would include all the activities like trekking, night safaris, camp fire and plantation walks with rates starting from <strong>Rs 5000/night</strong>.</p>",0,2018-10-29 10:02:06,[ls_content_block id=101987],1,https://traveltriangle.com/blog/20-things-to-do-on-kerala-trip/,,,
