words,v1,Bool
india,77,y
delhi,27,y
romantic,28,n
new,17,y
year,12,n
girls,1,n
bachelor,1,n
kerala,21,y
things,28,n
visit,68,n
sri,14,y
lanka,13,y
family,10,n
travel,18,n
honeymoon,65,n
summer,12,n
mauritius,20,y
maldives,9,y
kashmir,7,y
bollywood,1,n
bonfire,1,n
tourist,23,n
road,13,n
coorg,3,y
near,30,n
south,7,y
andaman,11,y
long,1,n
weekend,10,n
world,4,n
cup,1,n
zealand,5,y
australia,6,y
fun,7,n
international,1,n
budget,6,n
backwaters,1,n
africa,3,y
east,1,y
asia,5,y
bhutan,10,y
adventure,8,n
hills,1,n
stargazing,1,n
goa,25,y
gokarna,1,y
vacations,1,n
mumbai,14,y
bangalore,12,y
karnataka,2,y
europe,6,y
ladakh,6,y
beautiful,5,n
taj,1,y
turkey,9,y
north,5,y
himalayas,4,y
kolkata,8,y
strange,1,n
singapore,14,y
chennai,11,y
mcleodganj,2,y
seychelles,2,y
bali,14,y
manali,10,y
picnic,9,n
tree,1,n
houses,1,n
infinity,1,n
pools,1,n
pune,9,y
indonesia,1,y
nainital,3,y
hyderabad,7,y
leh,1,y
offbeat,2,n
shimla,3,y
himachal,4,y
rajasthan,5,y
metro,1,n
local,1,n
uttarakhand,1,y
monsoon,5,n
thailand,7,y
malaysia,8,y
pondicherry,3,y
yoga,1,n
eid,1,n
bangkok,2,y
nightlife,11,n
phuket,4,y
watersports,1,n
kasol,1,y
best,3,n
ahmedabad,5,y
jaipur,4,y
dubai,9,y
cappadocia,1,y
sikkim,1,y
haunted,12,n
birthday,1,n
munnar,4,y
race,1,n
alleppey,4,y
train,1,n
journeys,1,n
malana,1,y
lahaul,1,y
spiti,1,y
darjeeling,2,y
kurseong,1,y
uae,1,y
skydiving,1,n
istanbul,3,y
antalya,1,y
natural,1,n
guide,1,n
spain,3,y
sydney,2,y
backpacking,1,n
free,1,n
winter,5,n
krabi,3,y
perth,3,y
melbourne,3,y
backpacker,1,n
dating,1,n
autumn,1,n
abu,2,y
dhabi,1,y
nagpur,1,y
solo,6,n
mysore,1,y
dussehra,2,n
kullu,1,y
brisbane,1,y
durga,1,n
puja,1,n
chandigarh,2,y
peru,1,y
dharamsala,1,y
paris,2,y
nepal,2,y
switzerland,4,y
jaisalmer,2,y
royal,2,n
kheer,1,n
ganga,1,y
koh,2,y
samui,2,y
rann,1,y
utsav,1,n
bhangarh,1,y
london,1,y
renuka,1,n
burj,1,y
khalifa,1,y
tallest,1,n
december,1,n
calangute,1,y
mount,2,y
huashan,1,y
chadar,1,y
snowboarding,1,n
sunburn,1,n
pattaya,2,y
france,1,y
mahabaleshwar,2,y
hong,5,y
kong,5,y
ramayana,1,n
ajmer,1,y
kumarakom,2,y
gangtok,2,y
wayanad,1,y
mysterious,1,n
thekkady,2,y
cochin,3,y
weird,1,n
jim,3,y
corbett,3,y
baga,1,y
macau,2,y
pakistan,2,y
greece,1,y
finland,1,y
kumbhalgarh,1,y
srinagar,2,y
fiji,1,y
group,1,n
couples,1,n
mathura,1,y
holi,1,n
sentosa,1,y
kovalam,1,y
auli,1,y
roopkund,1,y
valentine,1,n
chittorgarh,1,y
pushkar,2,y
italy,1,y
ncr,1,n
ranthambore,1,y
kottayam,1,y
bermuda,1,y
triangle,1,n
rishikesh,2,y
dalhousie,1,y
udaipur,2,y
flowers,1,n
vadodara,1,y
luxury,1,n
biking,1,n
rameshwaram,1,y
kuala,1,y
lumpur,1,y
bir,1,y
billing,1,y
langkawi,1,y
mussoorie,2,y
kanyakumari,1,y
pass,1,y
lakshadweep,1,y
kasauli,1,y
amsterdam,1,y
roads,1,n
mashobra,2,y
bikaner,1,y
cruising,1,n
july,1,n
driving,1,n
indian,1,n
licence,1,n
trip,1,n
stay,1,n
